Country,Freedom,GDP per Capita,Generosity,Healthy life expectancy,Perceptions of corruption,Score,Social support,Year
switzerland,0.66557,1.39651,0.29678,0.94143,0.41978,7.587,1.34951,2015
iceland,0.62877,1.30232,0.4363,0.94784,0.14145,7.561,1.40223,2015
denmark,0.64938,1.32548,0.34139,0.87464,0.48357,7.527,1.36058,2015
norway,0.66973,1.459,0.34699,0.88521,0.36503,7.522,1.33095,2015
canada,0.63297,1.32629,0.45811,0.90563,0.32957,7.427,1.32261,2015
finland,0.64169,1.29025,0.23351,0.88911,0.41372,7.406,1.31826,2015
netherlands,0.61576,1.32944,0.4761,0.89284,0.31814,7.378,1.28017,2015
sweden,0.6598,1.33171,0.36262,0.91087,0.43844,7.364,1.28907,2015
new zealand,0.63938,1.25018,0.47501,0.90837,0.42922,7.286,1.31967,2015
australia,0.65124,1.33358,0.43562,0.93156,0.35637,7.284,1.30923,2015
israel,0.41319,1.22857,0.33172,0.91387,0.07785,7.278,1.22393,2015
costa rica,0.63376,0.95578,0.25497,0.86027,0.10583,7.226,1.23788,2015
austria,0.62433,1.33723,0.33088,0.89042,0.18676,7.2,1.29704,2015
mexico,0.48181,1.02054,0.14074,0.81444,0.21312,7.187,0.91451,2015
united states,0.54604,1.39451,0.40105,0.86179,0.1589,7.119,1.24711,2015
brazil,0.49049,0.98124,0.14574,0.69702,0.17521,6.983,1.23287,2015
luxembourg,0.61583,1.56391,0.28034,0.91894,0.37798,6.946,1.21963,2015
ireland,0.61777,1.33596,0.45901,0.89533,0.28703,6.94,1.36948,2015
belgium,0.5845,1.30782,0.2225,0.89667,0.2254,6.937,1.28566,2015
united arab emirates,0.64157,1.42727,0.26428,0.80925,0.38583,6.901,1.12575,2015
united kingdom,0.59625,1.26637,0.51912,0.90943,0.32067,6.867,1.28548,2015
oman,0.63274,1.36011,0.21542,0.76276,0.32524,6.853,1.08182,2015
venezuela,0.42908,1.04424,0.05841,0.72052,0.11069,6.81,1.25596,2015
singapore,0.54252,1.52186,0.31105,1.02525,0.4921,6.798,1.02,2015
panama,0.5421,1.06353,0.24434,0.79661,0.0927,6.786,1.1985,2015
germany,0.61477,1.32792,0.28214,0.89186,0.21843,6.75,1.29937,2015
chile,0.44132,1.10715,0.33363,0.85857,0.12869,6.67,1.12447,2015
qatar,0.6404,1.69042,0.32573,0.79733,0.52208,6.611,1.0786,2015
france,0.55011,1.27778,0.12332,0.94579,0.20646,6.575,1.26038,2015
argentina,0.44974,1.05351,0.11451,0.78723,0.08484,6.574,1.24823,2015
czech republic,0.46364,1.17898,0.10686,0.84483,0.02652,6.505,1.20643,2015
uruguay,0.60362,1.06166,0.2324,0.8116,0.24558,6.485,1.2089,2015
colombia,0.53466,0.91861,0.18401,0.69077,0.0512,6.477,1.24018,2015
thailand,0.55664,0.9669,0.5763,0.7385,0.03187,6.455,1.26504,2015
saudi arabia,0.31048,1.39541,0.13706,0.72025,0.32524,6.411,1.08393,2015
spain,0.45951,1.23011,0.18227,0.95562,0.06398,6.329,1.31379,2015
malta,0.60365,1.2074,0.51752,0.88721,0.13586,6.302,1.30203,2015
taiwan,0.3974,1.29098,0.25376,0.8753,0.08129,6.298,1.07617,2015
kuwait,0.55499,1.55422,0.16228,0.72492,0.25609,6.295,1.16594,2015
suriname,0.59657,0.99534,0.16991,0.6082,0.13633,6.269,0.972,2015
trinidad & tobago,0.55884,1.21183,0.31844,0.61483,0.0114,6.168,1.18354,2015
el salvador,0.4035,0.76454,0.10692,0.67737,0.11776,6.13,1.02507,2015
guatemala,0.57733,0.74553,0.27489,0.64425,0.09472,6.123,1.04356,2015
